.Replacement,Original
January, january
February, february
March, march
April, april
June, june
July, july
August, august
September, september
October, october
November, november
December, december
Hi, hello
Nick, nick
Nick, Nicholas
Laura, laura
Caroline, caroline
git, glitter
talon, talent
Roger, roger
to do, todo
Josh, josh
catch-up, catchup
Jenni, Jenny
R, rare
England, englanrd
Wales, wales
Scotland, scotland
Northern Ireland, northern ireland
equalities, equality's
call, cool
Census, census
Jenni, jenny
Jenni's, jenny's
whole, hole
follow-up, followup 
rota, rotor
week, weak
Stuart, Stewart
Laura, lora
guys, guise
hi Nick, Hynek
hi Nick, hynek
labour, labor
comma, comme
Eleanor, Elinor
Vanessa, vanessa
Jon, jot
close, clothes
cumulative, accumulative
Will, William
Hi Laura, hilar
Hi Laura, Hilar
analyse, analyze
some, sum
sure, shore
either, ivor
weight, wait
weights, waits
Treasury, treasury
Jim, gym
Jim, gem
Paul, pal
Paul, pall
Sara Abbonizio, geo Sarah
error, era
Isobel, Isabel
thread, fred
Outlook, outlook
Phil, Phillip
lone, loan
add, ad
non-doms, non doms
non-dom, non dom
non-dom, non dome
Health Survey for England
pensioner, pension or
pensioner, pension a
than, van
male, mail
Roi, roy
go at, goat
analysing, analyzing
analysed, analyzed
tracked, tract
tab, dame
wait, weight
Jaya, jaya
Olga, olga
source, sauce  
main, mane
Patreon, patreon
beta, beater
been, bean
Dockerfile, Docker file
which is, witches
dual, jewel
dual, duel
commas, commerce
cancelling, counselling
pull request, pool request
pull requests, pool requests
Child Benefit, child benefit
so, saw
Hassan, hassan
Jahangir, jahangir
Mona, mona
pseudo, sudo
Antony, tony 
weight, whelp
weights, whelps
